INDE_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020,MEDIA_INDICADORES_2020,STD_INDICADORES_2020,MIN_INDICADORES_2020,MAX_INDICADORES_2020,RATIO_IDA_IAN,RATIO_IEG_IPS,DIFF_INDE_MEDIA,PEDRA_2020_NORM,PONTO_VIRADA_2020_NORM,INSTITUICAO_ENSINO_ALUNO_2020_NORM,FASE_TURMA_2020_NORM,IDADE_ALUNO_2020,ANOS_PM_2020,FAIXA_ETARIA,RATIO_ANOS_PM_IDADE,RISCO_DEFASAGEM
7.311667166666667,8.33334,7.1,6.25,5.833333333333333,7.5,7.5833325,10.0,7.514286547619046,1.381439400337798,5.833333333333333,10.0,0.5833327500005834,1.1359981824029082,-0.2026193809523793,ametista,nao,rede decisao/uniao,6b,16.0,2.0,2.0,0.12499992187504883,0
7.679582333333333,7.5,9.7,6.875,6.666666666666667,8.4375,8.124995,5.0,7.472023095238095,1.4966137051172692,5.0,9.7,1.3333306666720002,1.410907038680671,0.20755923809523846,ametista,nao,rede decisao/uniao,5f,17.0,4.0,3.0,0.23529397923883574,1
5.604168666666667,9.000020000000001,6.5,7.5,0.0,6.875,7.333333333333333,5.0,6.0297647619047625,2.916542507571224,0.0,9.000020000000001,0.0,0.8666655111126519,-0.4255960952380953,quartzo,nao,escola publica,1n,10.0,0.0,0.0,0.0,1
6.330001333333334,7.916679999999999,6.9,7.5,3.5,7.083333333333333,7.5,5.0,6.48571619047619,1.6204851027637879,3.5,7.916679999999999,0.6999986000028,0.9199987733349689,-0.15571485714285682,agata,nao,escola publica,2l,12.0,0.0,1.0,0.0,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
7.550001,8.500020000000001,10.0,5.0,9.5,2.5,7.749995,5.0,6.892859285714286,2.77585418000242,2.5,10.0,1.8999962000076,1.9999960000080002,0.6571417142857143,ametista,nao,escola publica,0a,10.0,1.0,0.0,0.0999999000001,1
9.687504,10.00002,10.0,10.0,9.0,9.375,9.75001,10.0,9.732147142857142,0.3981004749521693,9.0,10.00002,0.8999991000009,0.9999990000010001,-0.04464314285714188,topazio,sim,rede decisao/uniao,3l,11.0,1.0,1.0,0.09090900826453795,0
8.958334,8.91668,10.0,10.0,10.0,7.5,6.58333,10.0,9.000001428571428,1.419931695028891,6.58333,10.0,0.9999990000010001,0.9999990000010001,-0.04166742857142758,topazio,nao,escola publica,0b,7.0,0.0,0.0,0.0,0
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
7.352085,9.50002,9.0,7.5,5.5,7.1875,7.666665,5.0,7.336312142857143,1.655191704435514,5.0,9.50002,1.0999978000044002,1.1999984000021333,0.015772857142856367,ametista,nao,escola publica,1a,10.0,3.0,0.0,0.2999997000003,1
7.386391000000001,5.41667,8.8,7.5,6.0,8.125,9.11112,5.0,7.136112857142857,1.6628138588019437,5.0,9.11112,1.1999976000048,1.173331768890975,0.25027814285714367,ametista,sim,escola publica,4l,15.0,1.0,2.0,0.06666662222225185,1
8.155003333333333,9.16668,9.4,5.625,5.333333333333333,8.958333333333332,9.166676666666666,10.0,8.235717619047618,1.9132640514892774,5.333333333333333,10.0,0.5333328000005333,1.6711081402521952,-0.08071428571428463,ametista,sim,rede decisao/uniao,4b,14.0,4.0,2.0,0.2857140816327988,0
